OFFLINE_SHOP_TITLE	Apri negozio offline
PRIVATESHOPSEARCH_REFINE	Livello dell'oggetto
PRIVATESHOPSEARCH_SEARCH	Cerca
PRIVATESHOPSEARCH_SEARCH_BAR	Cerca
PRIVATESHOPSEARCH_SELECT	Scegli
PRIVATESHOPSEARCH_SELLER	Venditore
PRIVATE_SHOP_CLOSE_BUTTON	Chiudi negozio
PRIVATE_SHOP_NAME	Nome del negozio
PRIVATE_SHOP_TITLE	Crea un negozio privato
REFINE_COST	Costi di miglioramento: 0 Yang
REFINE_INFO	Probabilità di successo del miglioramento: 100%
REFINE_MONEY	Tassa sul raffinamento
REFINE_SELECT	Raffinamento
REFINE_TTILE	Miglioramenti
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Ricomincia qui
RESTART_IMMEDIATE	Reincarnazione
RESTART_TOWN	Ricomincia nella città.
SAFE_CHANGE_PASSWORD	Modifica password
SAFE_TITLE	Magazzino
SELECT_ATTR_CHANGED	Nuovi
SELECT_ATTR_CURRENT	Vecchi
SELECT_ATTR_SELECT	Scegli
SELECT_ATTR_TITLE	Incanta oggetto+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Crea
SELECT_DELETE	Cancella
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nome del Regno
SELECT_EXIT	Termina
SELECT_HP	VIT
SELECT_LEVEL	Livello
SELECT_METIN_STONE_TITLE	Scegli pietra spirituale
SELECT_NAME	Nome
SELECT_NO_GUILD	Nessuna Gilda
SELECT_PLAYTIME	Tempo di gioco
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Scegli titolo
SHOP_BUY	Compra
SHOP_SELL	Vendi
SHOP_TITLE	Negozio
SKILL_SUPPORT_TITLE	Abilità standard
STEP	Grado di chiarezza
STEP_SELECT	Grado di purezza
STRENGTH	Rinforza
STRENGTH_SELECT	Livello
STRUCTURE_VIEW_MODE	Decorazione
STRUCTURE_VIEW_TYPE_STRUCTURE	Nascondi
SYSTEMOPTION_TITLE	Opzioni di sistema
SYSTEM_CHANGE	Cambia personaggio
SYSTEM_EXIT	Termina gioco
SYSTEM_HELP	Aiuto
SYSTEM_LOGOUT	Sconnetti
SYSTEM_MALL	Item Shop
SYSTEM_MOVE_CHANNEL	Cambia canale
SYSTEM_OPTION	Opzioni di sistema
TASKBAR_CHARACTER	Personaggio [C/V/B/N]
TASKBAR_CHAT	Finestra di Chat [Invio]
TASKBAR_DISABLE	Disattiva
TASKBAR_DRAGON_SOUL	Alchimia delle Pietre del drago
TASKBAR_EXPAND	Ingrandisci la finestra
TASKBAR_INVENTORY	Inventario [I]
TASKBAR_MESSENGER	Amici [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Prossimo campo di utilizzo veloce [MAIUSC + Numero, Alt]
TASKBAR_PET_INFO	Informazioni sul pet
TASKBAR_PREV_QUICKSLOT	Precedente campo di utilizzo veloce [MAIUSC + Numero]
TASKBAR_SYSTEM	Opzioni[ESC]
TOTAL_RANKING	Classifica complessiva
WEEKLY_RANKING	Classifica settimanale
WHISPER_BAN	Blocca
WHISPER_NAME	Sussurra
WHISPER_REPORT	
WHISPER_SEND	Invia
YES	Sì.
ZONE_MAP	Mappa grande
